"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"2019-01-02",99.5500030517578,101.75,98.9400024414062,101.120002746582,35329300,94.1931228637695
"2019-01-03",100.099998474121,100.190002441406,97.1999969482422,97.4000015258789,42579100,90.7279586791992
"2019-01-04",99.7200012207031,102.51000213623,98.9300003051758,101.930000305176,44060600,94.947639465332
"2019-01-07",101.639999389648,103.269996643066,100.980003356934,102.059997558594,35656100,95.0687255859375
"2019-01-08",103.040000915527,103.970001220703,101.709999084473,102.800003051758,31514400,95.7580413818359
"2019-01-09",103.860000610352,104.879997253418,103.23999786377,104.269996643066,32280800,97.1273498535156
"2019-01-10",103.220001220703,103.75,102.379997253418,103.599998474121,30067600,96.5032424926758
"2019-01-11",103.190002441406,103.440002441406,101.639999389648,102.800003051758,28314200,95.7580413818359
"2019-01-14",101.900001525879,102.870002746582,101.26000213623,102.050003051758,28437100,95.0594329833984
"2019-01-15",102.51000213623,105.050003051758,101.879997253418,105.01000213623,31587600,97.8166580200195
"2019-01-16",105.26000213623,106.26000213623,104.959999084473,105.379997253418,29853900,98.1613311767578
"2019-01-17",105,106.629997253418,104.76000213623,106.120002746582,28393000,98.8506240844727
"2019-01-18",107.459999084473,107.900001525879,105.910003662109,107.709999084473,37427600,100.331695556641
"2019-01-22",106.75,107.099998474121,104.860000610352,105.680000305176,32371300,98.440788269043
"2019-01-23",106.120002746582,107.040000915527,105.339996337891,106.709999084473,25874300,99.4001998901367
"2019-01-24",106.860000610352,107,105.339996337891,106.199996948242,23164800,98.925163269043
"2019-01-25",107.23999786377,107.879997253418,106.199996948242,107.169998168945,31225600,99.8287048339844
"2019-01-28",106.26000213623,106.480003356934,104.660003662109,105.080001831055,29476700,97.8818511962891
"2019-01-29",104.879997253418,104.970001220703,102.169998168945,102.940002441406,31490500,95.8884429931641
"2019-01-30",104.620002746582,106.379997253418,104.330001831055,106.379997253418,49471900,99.0928039550781
"2019-01-31",103.800003051758,105.220001220703,103.180000305176,104.430000305176,55636400,97.2764053344727
"2019-02-01",103.779998779297,104.099998474121,102.349998474121,102.779998779297,35535700,95.7394256591797
"2019-02-04",102.870002746582,105.800003051758,102.769996643066,105.73999786377,31315100,98.4966354370117
"2019-02-05",106.059997558594,107.269996643066,105.959999084473,107.220001220703,27325400,99.8752975463867
"2019-02-06",107,107,105.529998779297,106.029998779297,20609800,98.7667846679688
"2019-02-07",105.190002441406,105.589996337891,104.290000915527,105.269996643066,29760700,98.0588531494141
"2019-02-08",104.389999389648,105.779998779297,104.26000213623,105.669998168945,21461100,98.4314575195312
"2019-02-11",106.199996948242,106.580001831055,104.970001220703,105.25,18914100,98.0402145385742
"2019-02-12",106.139999389648,107.139999389648,105.480003356934,106.889999389648,25056600,99.5678787231445
"2019-02-13",107.5,107.779998779297,106.709999084473,106.809997558594,18394900,99.4933624267578
"2019-02-14",106.309997558594,107.290000915527,105.660003662109,106.900001525879,21784700,99.5772171020508
"2019-02-15",107.910003662109,108.300003051758,107.360000610352,108.220001220703,26606900,100.806800842285
"2019-02-19",107.790000915527,108.660003662109,107.779998779297,108.169998168945,18038500,100.760185241699
"2019-02-20",107.860000610352,107.940002441406,106.290000915527,107.150001525879,21607700,100.236335754395
"2019-02-21",106.900001525879,109.480003356934,106.870002746582,109.410003662109,29063200,102.350517272949
"2019-02-22",110.050003051758,111.199996948242,109.819999694824,110.970001220703,27763200,103.809867858887
"2019-02-25",111.76000213623,112.180000305176,111.26000213623,111.589996337891,23750600,104.389831542969
"2019-02-26",111.26000213623,113.23999786377,111.169998168945,112.360000610352,21536700,105.110168457031
"2019-02-27",111.690002441406,112.360000610352,110.879997253418,112.169998168945,21487100,104.932418823242
"2019-02-28",112.040000915527,112.879997253418,111.730003356934,112.029998779297,29083900,104.801460266113
"2019-03-01",112.889999389648,113.019996643066,111.669998168945,112.529998779297,23501200,105.269195556641
"2019-03-04",113.019996643066,113.25,110.800003051758,112.26000213623,26608000,105.016624450684
"2019-03-05",112.25,112.389999389648,111.230003356934,111.699996948242,19538300,104.49275970459
"2019-03-06",111.870002746582,112.660003662109,111.430000305176,111.75,17687000,104.539535522461
"2019-03-07",111.400001525879,111.550003051758,109.870002746582,110.389999389648,25339000,103.267265319824
"2019-03-08",109.160003662109,110.709999084473,108.800003051758,110.51000213623,22818400,103.379547119141
"2019-03-11",110.98999786377,112.949996948242,110.980003356934,112.830001831055,26491600,105.549850463867
"2019-03-12",112.819999694824,113.98999786377,112.650001525879,113.620002746582,26132700,106.288856506348
"2019-03-13",114.129997253418,115,113.779998779297,114.5,35513800,107.112091064453
"2019-03-14",114.540000915527,115.199996948242,114.330001831055,114.589996337891,30763400,107.196273803711
"2019-03-15",115.339996337891,117.25,114.589996337891,115.910003662109,54681100,108.431106567383
"2019-03-18",116.169998168945,117.610000610352,116.050003051758,117.569999694824,31207600,109.984016418457
"2019-03-19",118.089996337891,118.440002441406,116.98999786377,117.650001525879,37588700,110.058822631836
"2019-03-20",117.389999389648,118.75,116.709999084473,117.519996643066,28113300,109.937217712402
"2019-03-21",117.139999389648,120.819999694824,117.089996337891,120.220001220703,29854400,112.463035583496
