"Date","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted"
"2019-01-02",30.546667098999,31.216667175293,30.546667098999,31.1133327484131,24458100,27.9137744903564
"2019-01-03",31.0699996948242,31.5699996948242,30.8999996185303,30.953332901001,24831900,27.7702312469482
"2019-01-04",31.0699996948242,31.2199993133545,30.8966674804688,31.1466674804688,24087300,27.9436874389648
"2019-01-07",31.2066669464111,31.7233333587646,31.0599994659424,31.5133323669434,23369100,28.2726383209229
"2019-01-08",31.6866664886475,31.9200000762939,31.3033332824707,31.7333335876465,21602700,28.4700202941895
"2019-01-09",31.9033336639404,32.0466651916504,31.5900001525879,31.6299991607666,18816900,28.3773136138916
"2019-01-10",31.2933330535889,31.6599998474121,31.0400009155273,31.6533336639404,28188900,28.3982486724854
"2019-01-11",31.6633338928223,31.7633323669434,31.5166664123535,31.6133327484131,16183800,28.3623580932617
"2019-01-14",31.4933338165283,31.8166675567627,31.4266662597656,31.6499996185303,21255300,28.3952503204346
"2019-01-15",31.8233337402344,32.2000007629395,31.7933330535889,32.0833320617676,21174600,28.7840232849121
"2019-01-16",31.9766674041748,32.2866668701172,31.9433326721191,32.1166687011719,16230000,28.8139381408691
"2019-01-17",32.1066665649414,32.4033317565918,32.0533332824707,32.2466659545898,16843500,28.9305591583252
"2019-01-18",32.3166656494141,32.7333335876465,32.283332824707,32.5766677856445,18361800,29.2266368865967
"2019-01-22",32.3833312988281,32.810001373291,32.2599983215332,32.4966659545898,24189600,29.1548595428467
"2019-01-23",32.9566688537598,33.1166687011719,32.5099983215332,32.9033317565918,25037400,29.5196990966797
"2019-01-24",32.7333335876465,32.8199996948242,32.1433334350586,32.7866668701172,22829100,29.4150333404541
"2019-01-25",32.9166679382324,32.9700012207031,32.25,32.3133316040039,21654600,28.9903717041016
"2019-01-28",32.1766662597656,32.3566665649414,32.026668548584,32.3533325195312,17627400,29.0262622833252
"2019-01-29",32.2566680908203,32.3866653442383,32.1699981689453,32.2366676330566,15760200,28.9215965270996
"2019-01-30",32.2266654968262,32.2666664123535,31.4200000762939,31.6000003814697,35547900,28.3503932952881
"2019-01-31",31.5433330535889,32.2900009155273,31.5433330535889,31.9433326721191,44169000,28.6584224700928
"2019-02-01",31.9733333587646,32,31.0366668701172,31.2866668701172,37775700,28.0692863464355
