"Date","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
"2019-01-02",368.149993896484,376.790008544922,366.010009765625,372.440002441406,599600,369.389068603516
"2019-01-03",373.660003662109,385.940002441406,371.579986572266,372.079986572266,750200,369.032043457031
"2019-01-04",379.540008544922,399.700012207031,377.649993896484,397.549987792969,1207600,394.293365478516
"2019-01-07",397.339996337891,400.799987792969,393.940002441406,396.630004882812,959400,393.380950927734
"2019-01-08",399.309997558594,401.089996337891,389,397.260009765625,963500,394.005737304688
"2019-01-09",398.019989013672,401.459991455078,395.609985351562,399.579986572266,615600,396.306762695312
"2019-01-10",399.399993896484,410,395.980010986328,408.059997558594,949300,404.71728515625
"2019-01-11",405.649993896484,412.290008544922,403.549987792969,408.630004882812,758000,405.282623291016
"2019-01-14",408.160003662109,408.160003662109,399.109985351562,400.730010986328,693300,397.447387695312
"2019-01-15",401.420013427734,405.160003662109,399.630004882812,405.019989013672,475100,401.702178955078
"2019-01-16",406.170013427734,410.630004882812,402.850006103516,404.540008544922,468800,401.226104736328
"2019-01-17",402.720001220703,420.290008544922,402.720001220703,417.380004882812,860200,413.9609375
"2019-01-18",420.420013427734,420.480010986328,410,418.839996337891,710400,415.408966064453
"2019-01-22",415.769989013672,421.989990234375,404,404.75,899500,401.434387207031
"2019-01-23",404.920013427734,406.790008544922,393.170013427734,401.209991455078,914000,397.923400878906
"2019-01-24",401.799987792969,408.880004882812,399.160003662109,407.929992675781,655100,404.588317871094
"2019-01-25",410.850006103516,418.950012207031,406.100006103516,418.290008544922,668000,414.863494873047
"2019-01-28",415.109985351562,416.489990234375,408.809997558594,413.950012207031,761000,410.55908203125
"2019-01-29",415.720001220703,418.510009765625,413,417.149993896484,724700,413.732818603516
"2019-01-30",416.350006103516,420.440002441406,412.630004882812,419.910003662109,867800,416.47021484375
"2019-01-31",419.679992675781,430.579986572266,419.450012207031,429.269989013672,1441800,425.753540039062
"2019-02-01",428.519989013672,431.320007324219,425.320007324219,430.149993896484,702300,426.626281738281
"2019-02-04",428.920013427734,429.059997558594,422.489990234375,425.399993896484,474600,421.915222167969
"2019-02-05",426.109985351562,427.5,419.630004882812,421.040008544922,629600,417.590972900391
"2019-02-06",428.899993896484,429.899993896484,406.399993896484,406.559997558594,1330800,403.229583740234
"2019-02-07",408.290008544922,414.220001220703,404.269989013672,406.459991455078,738400,403.130401611328
"2019-02-08",405.440002441406,408,399.290008544922,406.859985351562,692100,403.527069091797
"2019-02-11",409.369995117188,413.350006103516,403,408.510009765625,587000,405.163604736328
"2019-02-12",411.559997558594,418.100006103516,408.019989013672,416.339996337891,636900,412.929473876953
"2019-02-13",415.980010986328,421.660003662109,411.510009765625,412.089996337891,349300,408.714263916016
"2019-02-14",412,416.260009765625,408.570007324219,414.970001220703,349600,411.570648193359
"2019-02-15",417.970001220703,424.390014648438,415.720001220703,423.970001220703,7e+05,420.496948242188
"2019-02-19",423.739990234375,426.410003662109,420.350006103516,420.600006103516,397800,417.154541015625
"2019-02-20",420,423.399993896484,417.079986572266,422.510009765625,411100,419.048919677734
"2019-02-21",421.809997558594,422.609985351562,415.579986572266,418.619995117188,406600,415.190734863281
"2019-02-22",418.209991455078,423.649993896484,416,422.519989013672,386600,419.058807373047
"2019-02-25",424.940002441406,426.529998779297,415.760009765625,420.380004882812,660400,416.936370849609
"2019-02-26",418.570007324219,428.059997558594,415.829986572266,426.149993896484,611100,422.659088134766
"2019-02-27",424,433.739990234375,424,433.329986572266,598800,429.780242919922
"2019-02-28",430.190002441406,434.350006103516,428.619995117188,430.739990234375,518000,427.211486816406
"2019-03-01",434.799987792969,440.049987792969,431.929992675781,439.570007324219,511000,435.969177246094
"2019-03-04",441.179992675781,442,428.359985351562,433.829986572266,769300,430.276153564453
"2019-03-05",432.119995117188,439.649993896484,430.489990234375,437.130004882812,478300,433.549194335938
"2019-03-06",436.929992675781,438.019989013672,421.309997558594,423.690002441406,812300,420.219268798828
