"Date","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"2019-01-02",20.4066677093506,21.0086669921875,19.9200000762939,20.6746673583984,174879000,20.6746673583984
"2019-01-03",20.466667175293,20.6266670227051,19.8253326416016,20.0240001678467,104478000,20.0240001678467
"2019-01-04",20.3999996185303,21.2000007629395,20.181999206543,21.1793327331543,110911500,21.1793327331543
"2019-01-07",21.4479999542236,22.449333190918,21.1833324432373,22.3306674957275,113268000,22.3306674957275
"2019-01-08",22.7973327636719,22.9340000152588,21.8013324737549,22.3566665649414,105127500,22.3566665649414
"2019-01-09",22.3666667938232,22.8999996185303,22.0979995727539,22.5686664581299,81493500,22.5686664581299
"2019-01-10",22.2933330535889,23.0259990692139,22.1193332672119,22.9979991912842,90846000,22.9979991912842
"2019-01-11",22.8059997558594,23.2273330688477,22.5846672058105,23.1506671905518,75586500,23.1506671905518
"2019-01-14",22.8253326416016,22.8333320617676,22.2666664123535,22.2933330535889,78709500,22.2933330535889
"2019-01-15",22.3333320617676,23.2533321380615,22.2999992370605,22.9619998931885,90849000,22.9619998931885
"2019-01-16",22.9853324890137,23.466667175293,22.8999996185303,23.0699996948242,70375500,23.0699996948242
"2019-01-17",23.0806674957275,23.4333324432373,22.9433326721191,23.1539993286133,55150500,23.1539993286133
"2019-01-18",21.533332824707,21.808666229248,19.9820003509521,20.1506671905518,362262000,20.1506671905518
"2019-01-22",20.3213329315186,20.533332824707,19.7000007629395,19.92799949646,181000500,19.92799949646
"2019-01-23",19.5,19.6333332061768,18.779333114624,19.1726665496826,187950000,19.1726665496826
"2019-01-24",18.8686676025391,19.5786666870117,18.6186676025391,19.4340000152588,120183000,19.4340000152588
"2019-01-25",19.6259994506836,19.9013328552246,19.3033332824707,19.8026676177979,108744000,19.8026676177979
"2019-01-28",19.5273323059082,19.8306674957275,19.1833324432373,19.7586669921875,96349500,19.7586669921875
"2019-01-29",19.6846675872803,19.9039993286133,19.453332901001,19.8306674957275,69325500,19.8306674957275
"2019-01-30",20.0300006866455,20.6000003814697,19.8993320465088,20.5846672058105,168754500,20.5846672058105
"2019-01-31",20.0666675567627,20.7706661224365,19.6000003814697,20.4680004119873,188538000,20.4680004119873
"2019-02-01",20.3613338470459,21.0733337402344,20.2333335876465,20.8139991760254,109251000,20.8139991760254
"2019-02-04",20.8653335571289,21.0200004577637,20.1253337860107,20.8593330383301,110281500,20.8593330383301
"2019-02-05",20.8326663970947,21.496000289917,20.8166675567627,21.4233322143555,101142000,21.4233322143555
"2019-02-06",21.3059997558594,21.6159992218018,21.041332244873,21.1480007171631,75577500,21.1480007171631
