"first_obs","last_obs","n_obs"
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
2019-01-02,2022-12-30,1008
