"Date","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
"2019-01-02",95.9499969482422,99.7799987792969,95.9400024414062,99.3099975585938,15670900,80.4739837646484
"2019-01-03",98.6399993896484,98.8899993896484,96.6900024414062,97.1100006103516,16286400,79.3302993774414
"2019-01-04",99.1100006103516,100.930000305176,98.2799987792969,100.690002441406,16935200,82.2548599243164
"2019-01-07",100.430000305176,101.470001220703,99.7099990844727,100.76000213623,15430700,82.3120346069336
"2019-01-08",101.629997253418,101.819999694824,99.5500030517578,100.569999694824,13578800,82.1568222045898
"2019-01-09",100.809997558594,101.48999786377,99.9300003051758,100.400001525879,14230300,82.0179595947266
"2019-01-10",100.019996643066,100.730003356934,99.2699966430664,100.389999389648,14376100,82.0097732543945
"2019-01-11",99.8899993896484,100.169998168945,98.9499969482422,99.9100036621094,15439900,81.6176605224609
"2019-01-14",98.870002746582,101.360000610352,98.6600036621094,100.940002441406,21258500,82.4590835571289
"2019-01-15",98.8899993896484,102.470001220703,98.5999984741211,101.680000305176,26504900,83.063591003418
"2019-01-16",102.25,103.449996948242,101.800003051758,102.5,18533000,83.7334518432617
"2019-01-17",102.110000610352,103.5,101.919998168945,102.919998168945,14247600,84.0765533447266
"2019-01-18",103.769996643066,104.900001525879,102.830001831055,104.589996337891,16428700,85.4408111572266
"2019-01-22",103.080001831055,103.589996337891,102.129997253418,102.940002441406,17083700,84.092903137207
"2019-01-23",103.440002441406,103.699996948242,101.970001220703,102.680000305176,12146700,83.880500793457
"2019-01-24",102.129997253418,103.089996337891,101.940002441406,102.73999786377,11296800,83.9295043945312
"2019-01-25",103.51000213623,104.309997558594,102.73999786377,103.389999389648,14369400,84.4605026245117
"2019-01-28",102.889999389648,104.23999786377,102.589996337891,103.879997253418,12283100,84.8608093261719
"2019-01-29",103.879997253418,105.110000610352,103.730003356934,104.169998168945,9743300,85.0976867675781
"2019-01-30",104.139999389648,105.23999786377,103.779998779297,104.410003662109,12526300,85.2937393188477
"2019-01-31",103.410003662109,103.800003051758,102.730003356934,103.5,17520600,84.5503768920898
"2019-02-01",104,104.849998474121,103.519996643066,103.879997253418,13000800,84.8608093261719
"2019-02-04",103.790000915527,104.25,103.01000213623,104.25,9871500,85.1630401611328
"2019-02-05",104.519996643066,104.550003051758,103.290000915527,103.790000915527,12763000,84.7872619628906
"2019-02-06",103.709999084473,104.620002746582,103.470001220703,103.73999786377,8745000,84.7464141845703
"2019-02-07",103.25,103.5,101.440002441406,102.379997253418,13177500,83.6354446411133
"2019-02-08",102.080001831055,102.339996337891,100.059997558594,101.360000610352,12892600,82.8021926879883
"2019-02-11",101.76000213623,102.01000213623,100.769996643066,100.879997253418,10978500,82.4100646972656
"2019-02-12",101.949996948242,102.919998168945,101.889999389648,102.599998474121,12852300,83.8151473999023
"2019-02-13",102.900001525879,103.849998474121,102.900001525879,103.089996337891,10754100,84.2154541015625
"2019-02-14",102.470001220703,103.099998474121,101.349998474121,102.419998168945,11518500,83.6681060791016
"2019-02-15",103.900001525879,105.699996948242,103.660003662109,105.550003051758,14716900,86.2250289916992
"2019-02-19",104.910003662109,105.370002746582,103.809997558594,105.180000305176,12764900,85.9227828979492
"2019-02-20",105.209999084473,105.800003051758,104.879997253418,105.690002441406,10030300,86.3394012451172
"2019-02-21",105.449996948242,105.98999786377,104.959999084473,105.470001220703,8400100,86.1596984863281
"2019-02-22",105.699996948242,106.089996337891,104.779998779297,105,10647300,85.7757339477539
"2019-02-25",105.75,107.269996643066,105.690002441406,106.099998474121,11230700,86.67431640625
"2019-02-26",104.5,105.470001220703,103.940002441406,105.290000915527,15465400,86.0126266479492
"2019-02-27",105.180000305176,105.379997253418,104.51000213623,105.160003662109,9968800,85.9064331054688
"2019-02-28",105.01000213623,105.209999084473,104.180000305176,104.360000610352,15156900,85.2529373168945
"2019-03-01",105.099998474121,105.910003662109,104.199996948242,104.430000305176,13813300,85.3101043701172
"2019-03-04",104.919998168945,105.919998168945,103.269996643066,104.190002441406,12466300,85.1140441894531
"2019-03-05",104.129997253418,104.550003051758,103.26000213623,104.110000610352,10856600,85.0487060546875
"2019-03-06",103.860000610352,104.569999694824,103.550003051758,103.720001220703,9070800,84.7301025390625
"2019-03-07",103.25,103.470001220703,102.160003662109,102.970001220703,12705700,84.1174087524414
"2019-03-08",101.98999786377,103.230003356934,101.98999786377,103.01000213623,10582400,84.1500778198242
"2019-03-11",103.980003356934,104.550003051758,103.660003662109,104.349998474121,9763200,85.244758605957
"2019-03-12",104.589996337891,104.790000915527,103.75,104.040000915527,10219100,84.9915008544922
"2019-03-13",104.190002441406,104.980003356934,103.949996948242,104.389999389648,13022200,85.2774124145508
