"Date","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume","UAL.Adjusted"
"2019-01-02",81.6900024414062,84.2900009155273,81.4100036621094,84.1800003051758,2973400,84.1800003051758
"2019-01-03",83.2600021362305,83.2600021362305,78.379997253418,80,6426200,80
"2019-01-04",80.879997253418,83.9499969482422,80.7699966430664,82.6800003051758,3808300,82.6800003051758
"2019-01-07",82.5699996948242,83.9199981689453,81.4499969482422,83.2300033569336,2653000,83.2300033569336
"2019-01-08",83.3000030517578,84.620002746582,81.8899993896484,82.379997253418,3910000,82.379997253418
"2019-01-09",81.2300033569336,83.9199981689453,81.2300033569336,83.7600021362305,5332600,83.7600021362305
"2019-01-10",80.7300033569336,81.7900009155273,77.3899993896484,81.370002746582,7376200,81.370002746582
"2019-01-11",80.6800003051758,80.9700012207031,79.2300033569336,80.0699996948242,4325300,80.0699996948242
"2019-01-14",79.2799987792969,80.3899993896484,78.6800003051758,79.9100036621094,3951200,79.9100036621094
"2019-01-15",80.5899963378906,82.0999984741211,80,81.1999969482422,5971900,81.1999969482422
"2019-01-16",86.8499984741211,87.75,85.5599975585938,86.3600006103516,10840600,86.3600006103516
"2019-01-17",86.6500015258789,87.2600021362305,85.5299987792969,86.7399978637695,3571300,86.7399978637695
"2019-01-18",87.1399993896484,87.1900024414062,85.5500030517578,85.5899963378906,3797600,85.5899963378906
"2019-01-22",85.370002746582,85.4100036621094,82.8899993896484,83.3399963378906,3776300,83.3399963378906
"2019-01-23",83.6999969482422,84.9599990844727,82.629997253418,82.879997253418,3916500,82.879997253418
"2019-01-24",84.5,85.6900024414062,83.7200012207031,84.0299987792969,4740300,84.0299987792969
"2019-01-25",84.6999969482422,85.1699981689453,83.5500030517578,84.1399993896484,4745100,84.1399993896484
"2019-01-28",83.1699981689453,85.1999969482422,83.0999984741211,84.5999984741211,2762400,84.5999984741211
"2019-01-29",84.6999969482422,85.7600021362305,84.5999984741211,85.6699981689453,2273900,85.6699981689453
"2019-01-30",85.9000015258789,87.9700012207031,85.5500030517578,87.4700012207031,2541300,87.4700012207031
"2019-01-31",87.5599975585938,88.1500015258789,86.7900009155273,87.2699966430664,3762700,87.2699966430664
"2019-02-01",87.2099990844727,88.5699996948242,87.1699981689453,87.4899978637695,1824200,87.4899978637695
"2019-02-04",87.4700012207031,88.629997253418,87.2799987792969,88.620002746582,2377400,88.620002746582
"2019-02-05",88.7200012207031,89.8199996948242,88.620002746582,89.4599990844727,3083700,89.4599990844727
"2019-02-06",89.1399993896484,89.879997253418,88.4100036621094,89.75,2205400,89.75
"2019-02-07",89.3300018310547,89.8399963378906,87.6699981689453,87.8600006103516,3165300,87.8600006103516
"2019-02-08",87.3399963378906,88.1900024414062,86.6600036621094,88.1699981689453,2197500,88.1699981689453
"2019-02-11",88.8600006103516,89.4499969482422,88.1699981689453,89.1500015258789,2348900,89.1500015258789
"2019-02-12",89.8899993896484,90.2699966430664,87.879997253418,87.9700012207031,2798500,87.9700012207031
"2019-02-13",88.2799987792969,88.9000015258789,87.9400024414062,88.5800018310547,3680100,88.5800018310547
"2019-02-14",88.2699966430664,88.7399978637695,87.5,88.1500015258789,1482600,88.1500015258789
"2019-02-15",89.3499984741211,89.3499984741211,88.1100006103516,88.3099975585938,2230300,88.3099975585938
"2019-02-19",87.870002746582,89.8199996948242,87.8199996948242,89.2399978637695,2224200,89.2399978637695
"2019-02-20",88.2799987792969,89.2399978637695,87.2900009155273,88.5,3151000,88.5
"2019-02-21",88.370002746582,89.4499969482422,88.25,88.8399963378906,2132500,88.8399963378906
"2019-02-22",88.9400024414062,89.6500015258789,88.6500015258789,89.4300003051758,1907600,89.4300003051758
"2019-02-25",90.0500030517578,90.5999984741211,89.379997253418,89.5800018310547,2395000,89.5800018310547
"2019-02-26",89.5699996948242,90.9300003051758,89.0400009155273,89.5299987792969,4089400,89.5299987792969
"2019-02-27",88.9199981689453,89.2600021362305,86.8399963378906,87.5999984741211,2466700,87.5999984741211
"2019-02-28",87.9000015258789,88.6999969482422,87.2200012207031,87.8099975585938,2300000,87.8099975585938
"2019-03-01",88.4599990844727,88.620002746582,85.370002746582,86.9199981689453,3699400,86.9199981689453
"2019-03-04",87.0999984741211,87.2399978637695,83.2699966430664,84.3099975585938,4094500,84.3099975585938
"2019-03-05",84.6399993896484,85.7200012207031,83.8199996948242,85.0500030517578,2848200,85.0500030517578
"2019-03-06",84.8899993896484,85.6800003051758,84.2699966430664,84.3300018310547,2544100,84.3300018310547
"2019-03-07",83.9800033569336,84.1999969482422,81.9499969482422,82.6100006103516,4565700,82.6100006103516
"2019-03-08",81.9899978637695,82.9000015258789,81.620002746582,82.4000015258789,2316800,82.4000015258789
"2019-03-11",81.9400024414062,82.5299987792969,81.7399978637695,82.379997253418,5140500,82.379997253418
"2019-03-12",82.6699981689453,82.9100036621094,79.5899963378906,79.8499984741211,6055300,79.8499984741211
"2019-03-13",80.5,81.4000015258789,79.879997253418,81.2099990844727,3450300,81.2099990844727
"2019-03-14",81.1999969482422,82.0599975585938,81.0899963378906,81.4899978637695,1816200,81.4899978637695
"2019-03-15",81.7600021362305,82.4800033569336,81.379997253418,81.6900024414062,4860300,81.6900024414062
"2019-03-18",81.3899993896484,81.7399978637695,80.5,80.7300033569336,2780200,80.7300033569336
"2019-03-19",80.9300003051758,81.8600006103516,80.75,81.3399963378906,2390400,81.3399963378906
"2019-03-20",81.1800003051758,81.4000015258789,79.7900009155273,79.8300018310547,4660700,79.8300018310547
"2019-03-21",80.2900009155273,81.4599990844727,79.6900024414062,81,2330500,81
"2019-03-22",80.6399993896484,80.7699966430664,78.75,79.629997253418,3160000,79.629997253418
"2019-03-25",79.6800003051758,80.0100021362305,78.0899963378906,78.120002746582,4731400,78.120002746582
"2019-03-26",78.4599990844727,78.8199996948242,77.0199966430664,77.4899978637695,3061400,77.4899978637695
"2019-03-27",77.5400009155273,79.5699996948242,77.5,78.5299987792969,2371500,78.5299987792969
"2019-03-28",78.9899978637695,79.2900009155273,77.7799987792969,78.5999984741211,1563100,78.5999984741211
"2019-03-29",79.0500030517578,80.0500030517578,78.5800018310547,79.7799987792969,2449900,79.7799987792969
"2019-04-01",80.2099990844727,81.6900024414062,79.5599975585938,80.870002746582,2723200,80.870002746582
"2019-04-02",83.1900024414062,85.0999984741211,82.3399963378906,82.7699966430664,3795100,82.7699966430664
"2019-04-03",83.25,84.9199981689453,83.0999984741211,84.1999969482422,4047800,84.1999969482422
"2019-04-04",84.5100021362305,85.2699966430664,83.5400009155273,84.6399993896484,1748400,84.6399993896484
"2019-04-05",84.9499969482422,85.75,84.5199966430664,84.9100036621094,3018100,84.9100036621094
"2019-04-08",84.5999984741211,85.120002746582,83.8000030517578,84.5800018310547,1853000,84.5800018310547
"2019-04-09",84.0899963378906,84.6399993896484,83.4599990844727,84.25,2016700,84.25
"2019-04-10",85.3300018310547,85.5500030517578,83.6100006103516,84.5199966430664,3547300,84.5199966430664
"2019-04-11",84.5599975585938,86.4199981689453,84.5599975585938,85.75,2570200,85.75
"2019-04-12",86.1900024414062,86.5,85.3000030517578,85.4899978637695,4507500,85.4899978637695
"2019-04-15",85.3099975585938,85.4300003051758,84.0800018310547,84.5199966430664,2324200,84.5199966430664
"2019-04-16",84.8099975585938,85.6699981689453,84.3899993896484,85.1699981689453,3747800,85.1699981689453
"2019-04-17",87.9400024414062,89.7300033569336,87.2900009155273,89.2399978637695,6963700,89.2399978637695
"2019-04-18",89.6699981689453,89.8099975585938,87.4599990844727,88.2799987792969,3508300,88.2799987792969
"2019-04-22",87.7699966430664,88.5500030517578,87.1500015258789,87.5599975585938,2060600,87.5599975585938
"2019-04-23",87.4899978637695,88.5,87.2600021362305,87.9700012207031,2220800,87.9700012207031
"2019-04-24",88.0999984741211,88.9599990844727,87.6100006103516,88.0299987792969,2049900,88.0299987792969
"2019-04-25",87.5699996948242,89.1500015258789,86.6699981689453,86.8600006103516,2152800,86.8600006103516
"2019-04-26",86.5599975585938,88.4300003051758,86.4899978637695,87.9400024414062,1544900,87.9400024414062
"2019-04-29",88.0199966430664,89.879997253418,88.0199966430664,89.6100006103516,2561900,89.6100006103516
"2019-04-30",89.6600036621094,90.1600036621094,88.6399993896484,88.8600006103516,2688200,88.8600006103516
"2019-05-01",89.0599975585938,89.7099990844727,87.7799987792969,87.9400024414062,2239600,87.9400024414062
"2019-05-02",88.0599975585938,89.2900009155273,88.0100021362305,88.3099975585938,1868600,88.3099975585938
"2019-05-03",88.5,89.0599975585938,88.2699966430664,88.5,1165000,88.5
"2019-05-06",87.1399993896484,88.0299987792969,86.5199966430664,87.7900009155273,1620400,87.7900009155273
"2019-05-07",86.75,86.7600021362305,84.620002746582,85.6800003051758,2400000,85.6800003051758
"2019-05-08",85.25,86.0899963378906,84.25,84.6399993896484,1900500,84.6399993896484
"2019-05-09",83.8399963378906,84.1500015258789,81.8099975585938,84.120002746582,2329000,84.120002746582
"2019-05-10",83.5,85.1900024414062,80.9899978637695,84.7900009155273,2841900,84.7900009155273
"2019-05-13",83.0299987792969,83.1900024414062,81.4400024414062,82.0699996948242,3908100,82.0699996948242
"2019-05-14",82.2600021362305,83.7699966430664,81.9300003051758,83.4499969482422,1928500,83.4499969482422
"2019-05-15",82.4000015258789,83.2699966430664,81.3300018310547,82.3499984741211,2371000,82.3499984741211
"2019-05-16",82.4199981689453,83.6500015258789,82.0500030517578,82.5800018310547,1803300,82.5800018310547
"2019-05-17",82.129997253418,82.4700012207031,81.2300033569336,81.5,2857900,81.5
"2019-05-20",81.3899993896484,82.4800033569336,81,81.7399978637695,2355600,81.7399978637695
"2019-05-21",82.5,83.370002746582,82.4199981689453,82.9700012207031,2162600,82.9700012207031
"2019-05-22",82.4000015258789,83,81.6999969482422,81.879997253418,1505800,81.879997253418
"2019-05-23",81.3000030517578,81.9599990844727,79.7699966430664,80.9100036621094,2231100,80.9100036621094
