"Date","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2019-01-02",40.910816192627,41.2713470458984,40.4554061889648,41.0341567993164,26430315,28.323169708252
"2019-01-03",41.0246696472168,41.1195449829102,39.8007583618164,39.8861465454102,28503533,27.5307807922363
"2019-01-04",40.2656555175781,41.1290321350098,40.0948753356934,40.7969627380371,27145348,28.1594486236572
"2019-01-07",40.8633766174316,41.3852005004883,40.6641387939453,41.0151786804199,20995469,28.3100738525391
"2019-01-08",41.3282737731934,41.4611015319824,40.9392776489258,41.2049331665039,19677231,28.441047668457
"2019-01-09",41.2333984375,41.4326362609863,40.9867172241211,41.1195449829102,20107580,28.3821067810059
"2019-01-10",41.0056915283203,41.0151786804199,39.8766593933105,40.1423149108887,39731162,27.7075881958008
"2019-01-11",40.1612892150879,40.6831130981445,39.9905128479004,40.6831130981445,21064506,28.0808658599854
"2019-01-14",40.3700180053711,40.4459190368652,40.0094871520996,40.1992416381836,17605173,27.746883392334
"2019-01-15",40.4174575805664,41.0246696472168,40.2561683654785,40.5407981872559,25865371,27.9826374053955
"2019-01-16",40.4079704284668,40.5977210998535,39.8766593933105,39.9525604248047,30169380,27.5766124725342
"2019-01-17",39.8007583618164,40.4743843078613,39.6869087219238,40.294116973877,24177284,27.8123722076416
"2019-01-18",40.6641387939453,40.6831130981445,40.0948753356934,40.3510437011719,38618455,27.8516674041748
"2019-01-22",40.237190246582,40.5028457641602,39.7817840576172,40.104362487793,29444122,27.6814022064209
"2019-01-23",39.8387107849121,40.0379524230957,39.4212532043457,40,24462813,27.6093654632568
"2019-01-24",39.6394691467285,39.6489562988281,38.5388984680176,38.851993560791,34394023,26.8169708251953
"2019-01-25",38.9943084716797,39.1366233825684,38.4345359802246,38.5578765869141,35862455,26.6139640808105
"2019-01-28",38.425048828125,38.4535102844238,37.4573059082031,37.5047454833984,39329694,25.8870506286621
"2019-01-29",37.4762802124023,38.7571144104004,37.4478187561035,38.6812133789062,51376808,26.699089050293
"2019-01-30",38.6812133789062,39.6110076904297,38.6432647705078,39.4497146606445,36067880,27.2295417785645
"2019-01-31",39.2599601745605,40.4364318847656,39.2314987182617,40.2751426696777,40927452,28.0420665740967
"2019-02-01",40.6736221313477,40.910816192627,40.3700180053711,40.6831130981445,27239681,28.3261203765869
"2019-02-04",40.6451606750488,40.6451606750488,39.810245513916,40.2656555175781,19426485,28.0354595184326
"2019-02-05",40.2561683654785,40.5407981872559,39.9051246643066,39.9525604248047,21127641,27.817455291748
"2019-02-06",39.7722969055176,40.1992416381836,39.6489562988281,40.1612892150879,16450410,27.9627857208252
"2019-02-07",39.9525604248047,39.9905128479004,39.0986709594727,39.5635681152344,24248008,27.5466232299805
"2019-02-08",39.4022789001465,40.0759010314941,39.3643264770508,40.0664138793945,27500125,27.896728515625
"2019-02-11",40.1138534545898,40.1423149108887,39.38330078125,39.5445938110352,27102134,27.5334148406982
"2019-02-12",39.573055267334,39.8576850891113,39.2694511413574,39.7248573303223,30540177,27.6589241027832
"2019-02-13",39.7722969055176,39.9051246643066,39.2694511413574,39.5635681152344,24757195,27.5466232299805
"2019-02-14",39.5635681152344,39.9620475769043,39.4876670837402,39.8197326660156,19864949,27.7249755859375
"2019-02-15",40.2087287902832,40.3320693969727,39.9240989685059,40.2277030944824,19168993,28.0090370178223
"2019-02-19",40.0759010314941,40.6641387939453,40.0284614562988,40.4174575805664,24432985,28.1411437988281
"2019-02-20",40.3510437011719,40.3795051574707,39.7817840576172,40.0379524230957,27354884,27.8769187927246
"2019-02-21",39.8671722412109,40.1518020629883,39.7153701782227,39.9810256958008,19611883,27.8372840881348
"2019-02-22",40.1328277587891,40.9203033447266,40.0569267272949,40.7590141296387,24779329,28.3789691925049
"2019-02-25",40.8349151611328,41.148006439209,40.7400398254395,40.8728637695312,25274815,28.4582366943359
"2019-02-26",40.7590141296387,41.0151786804199,40.6072120666504,40.8159408569336,16548959,28.4186058044434
"2019-02-27",40.7779884338379,41.0056915283203,40.61669921875,40.7305488586426,16475074,28.3591480255127
"2019-02-28",40.7495269775391,41.5370025634766,40.6736221313477,41.1290321350098,39002427,28.6365985870361
"2019-03-01",41.3757133483887,41.5464897155762,41.0721054077148,41.1385192871094,26667781,28.6431980133057
"2019-03-04",41.2144203186035,41.3567352294922,40.6831130981445,40.8633766174316,22805820,28.451623916626
"2019-03-05",40.8823547363281,41.0341567993164,40.6546478271484,40.6926002502441,26529812,28.3327217102051
"2019-03-06",40.6261863708496,40.6736221313477,39.4876670837402,39.7153701782227,22410359,27.6523151397705
"2019-03-07",39.7153701782227,39.7438316345215,39.1366233825684,39.2694511413574,29046132,27.3418407440186
"2019-03-08",39.2125244140625,39.3168869018555,38.2732467651367,38.7950668334961,31306119,27.0115547180176
