"Date","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"2019-01-02",25.92799949646,26.9750003814697,25.6580009460449,26.7660007476807,116795000,26.7660007476807
"2019-01-03",27.0200004577637,27.5790004730225,26.443000793457,27.1200008392334,149696000,27.1200008392334
"2019-01-04",28.1879997253418,29.7800006866455,27.8540000915527,29.7569999694824,193301000,29.7569999694824
"2019-01-07",30.2099990844727,31.6800003051758,30.1650009155273,31.5340003967285,186201000,31.5340003967285
"2019-01-08",31.9979991912842,32.0589981079102,30.8010005950928,32.0270004272461,153592000,32.0270004272461
"2019-01-09",31.7709999084473,32.3349990844727,31.3500003814697,31.996000289917,133432000,31.996000289917
"2019-01-10",31.4570007324219,32.5369987487793,31.25,32.4659996032715,134725000,32.4659996032715
"2019-01-11",33.0960006713867,34.109001159668,32.8520011901855,33.7589988708496,195004000,33.7589988708496
"2019-01-14",33.423999786377,33.5480003356934,32.9129981994629,33.2939987182617,104996000,33.2939987182617
"2019-01-15",34.9599990844727,35.7220001220703,34.7000007629395,35.4640007019043,211812000,35.4640007019043
"2019-01-16",35.4000015258789,35.8849983215332,34.8110008239746,35.1389999389648,153855000,35.1389999389648
"2019-01-17",34.9500007629395,35.5789985656738,34.640998840332,35.3190002441406,188712000,35.3190002441406
"2019-01-18",35.1969985961914,35.2999992370605,33.6730003356934,33.9099998474121,266210000,33.9099998474121
"2019-01-22",33.4889984130859,33.6879997253418,32.1030006408691,32.515998840332,179414000,32.515998840332
"2019-01-23",32.8250007629395,33.1749992370605,31.8600006103516,32.1990013122559,134801000,32.1990013122559
"2019-01-24",32.060001373291,33.1800003051758,31.8999996185303,32.6669998168945,111316000,32.6669998168945
"2019-01-25",32.8720016479492,34,32.851001739502,33.8050003051758,111529000,33.8050003051758
"2019-01-28",33.4700012207031,33.6300010681152,32.8880004882812,33.5660018920898,86521000,33.5660018920898
"2019-01-29",33.5870018005371,33.8219985961914,32.814998626709,32.8899993896484,76552000,32.8899993896484
"2019-01-30",33.2750015258789,34.1780014038086,33.0800018310547,34.0660018920898,92345000,34.0660018920898
"2019-01-31",33.9679985046387,34.5989990234375,33.8089981079102,33.9500007629395,85355000,33.9500007629395
"2019-02-01",33.7179985046387,34.6839981079102,33.6500015258789,33.9850006103516,98278000,33.9850006103516
"2019-02-04",34.2599983215332,35.2000007629395,34.1300010681152,35.1339988708496,90514000,35.1339988708496
"2019-02-05",35.3199996948242,36,35.2900009155273,35.5810012817383,90466000,35.5810012817383
"2019-02-06",35.7000007629395,35.7039985656738,34.7190017700195,35.2190017700195,67177000,35.2190017700195
"2019-02-07",34.7900009155273,34.875,33.9020004272461,34.4710006713867,78645000,34.4710006713867
"2019-02-08",33.7999992370605,34.7999992370605,33.7999992370605,34.7569999694824,75614000,34.7569999694824
"2019-02-11",35,35.2869987487793,34.4809989929199,34.5730018615723,54549000,34.5730018615723
"2019-02-12",34.8089981079102,36,34.6520004272461,35.9970016479492,104294000,35.9970016479492
"2019-02-13",35.7299995422363,35.9599990844727,35.0279998779297,35.1769981384277,105591000,35.1769981384277
"2019-02-14",35.1749992370605,36.0449981689453,34.8330001831055,35.9070014953613,92953000,35.9070014953613
"2019-02-15",35.8470001220703,36.439998626709,35.5499992370605,35.6870002746582,92300000,35.6870002746582
"2019-02-19",35.5800018310547,36.5,35.5320014953613,36.1920013427734,73966000,36.1920013427734
"2019-02-20",36.4850006103516,36.6710014343262,35.6699981689453,35.9910011291504,81107000,35.9910011291504
"2019-02-21",36.0029983520508,36.2849998474121,35.3880004882812,35.6969985961914,62279000,35.6969985961914
"2019-02-22",36.0340003967285,36.6129989624023,36.0050010681152,36.3019981384277,70882000,36.3019981384277
"2019-02-25",36.701000213623,37.148998260498,36.3790016174316,36.390998840332,75693000,36.390998840332
"2019-02-26",36.2980003356934,36.5699996948242,35.9329986572266,36.4970016479492,49446000,36.4970016479492
