"Date","NVDA.Open","NVDA.High","NVDA.Low","NVDA.Close","NVDA.Volume","NVDA.Adjusted"
"2019-01-02",3.26600003242493,3.46199989318848,3.25125002861023,3.40549993515015,508752000,3.37305283546448
"2019-01-03",3.34474992752075,3.37899994850159,3.19225001335144,3.19974994659424,705552000,3.16926240921021
"2019-01-04",3.27349996566772,3.44324994087219,3.2425000667572,3.40475010871887,585620000,3.37230920791626
"2019-01-07",3.46250009536743,3.62225008010864,3.41074991226196,3.58500003814697,709160000,3.55084180831909
"2019-01-08",3.66724991798401,3.66950011253357,3.42249989509583,3.49574995040894,786016000,3.46244168281555
"2019-01-09",3.54749989509583,3.61225008964539,3.49650001525879,3.56450009346008,617260000,3.53053736686707
"2019-01-10",3.54500007629395,3.63949990272522,3.48399996757507,3.63074994087219,523156000,3.59615612030029
"2019-01-11",3.60824990272522,3.74375009536743,3.58025002479553,3.72075009346008,874764000,3.68529868125916
"2019-01-14",3.66799998283386,3.78649997711182,3.64424991607666,3.76099991798401,730168000,3.72516489028931
"2019-01-15",3.79399991035461,3.83375000953674,3.72825002670288,3.74675011634827,617012000,3.71105098724365
"2019-01-16",3.77425003051758,3.80749988555908,3.71550011634827,3.72099995613098,470104000,3.68554592132568
"2019-01-17",3.68775010108948,3.83325004577637,3.66024994850159,3.79299998283386,493436000,3.75686025619507
"2019-01-18",3.84325003623962,3.94950008392334,3.79124999046326,3.92324995994568,651336000,3.88586854934692
"2019-01-22",3.89275002479553,3.90450000762939,3.68875002861023,3.71924996376038,661552000,3.68381261825562
"2019-01-23",3.77500009536743,3.86450004577637,3.70075011253357,3.73224997520447,591020000,3.69668865203857
"2019-01-24",3.81750011444092,3.96374988555908,3.81275010108948,3.94600009918213,708972000,3.90840291976929
"2019-01-25",3.88599991798401,4.02199983596802,3.78250002861023,4.00374984741211,1154572000,3.96560192108154
"2019-01-28",3.4137499332428,3.54099988937378,3.27500009536743,3.45024991035461,2511528000,3.4173755645752
"2019-01-29",3.40374994277954,3.45250010490417,3.27524995803833,3.28999996185303,1153932000,3.2586522102356
"2019-01-30",3.36675000190735,3.44924998283386,3.28649997711182,3.43475008010864,974228000,3.40202403068542
"2019-01-31",3.43149995803833,3.62975001335144,3.40949988365173,3.59375,842852000,3.55950880050659
"2019-02-01",3.61249995231628,3.66974997520447,3.56450009346008,3.61824989318848,625048000,3.58377480506897
"2019-02-04",3.6342499256134,3.76699995994568,3.61199998855591,3.72950005531311,528592000,3.6939651966095
"2019-02-05",3.74149990081787,3.78574991226196,3.70749998092651,3.74874997138977,542424000,3.71303129196167
"2019-02-06",3.78224992752075,3.89000010490417,3.77675008773804,3.82500004768372,702464000,3.78855562210083
"2019-02-07",3.77824997901917,3.78049993515015,3.64225006103516,3.68549990653992,637120000,3.65038418769836
"2019-02-08",3.6177499294281,3.71499991416931,3.60325002670288,3.70425009727478,461604000,3.66895580291748
"2019-02-11",3.65974998474121,3.71449995040894,3.61249995231628,3.66125011444092,495180000,3.62636518478394
"2019-02-12",3.70000004768372,3.79500007629395,3.68549990653992,3.77924990653992,591060000,3.74324083328247
"2019-02-13",3.80900001525879,3.89575004577637,3.79524993896484,3.82200002670288,605372000,3.78558349609375
"2019-02-14",3.82100009918213,3.89175009727478,3.77749991416931,3.86325001716614,827264000,3.82644033432007
"2019-02-15",4.07375001907349,4.09674978256226,3.91050004959106,3.93350005149841,1516748000,3.89602136611938
"2019-02-19",3.9227499961853,3.99725008010864,3.90350008010864,3.91599988937378,551892000,3.87868738174438
"2019-02-20",3.94549989700317,4.0314998626709,3.93425011634827,3.96374988555908,540988000,3.92598342895508
"2019-02-21",3.97650003433228,4.00124979019165,3.87949991226196,3.89424991607666,448548000,3.85714554786682
"2019-02-22",3.9465000629425,3.99874997138977,3.93274998664856,3.97974991798401,401740000,3.94183087348938
"2019-02-25",4.06400012969971,4.13199996948242,3.95849990844727,3.96725010871887,656020000,3.92945051193237
"2019-02-26",3.96250009536743,4.01900005340576,3.89374995231628,3.92750000953674,488464000,3.89007830619812
"2019-02-27",3.91300010681152,3.93974995613098,3.82774996757507,3.88525009155273,500256000,3.84823083877563
"2019-02-28",3.875,3.89750003814697,3.83400011062622,3.85649991035461,324944000,3.82369136810303
"2019-03-01",3.90674996376038,3.95374989509583,3.84800004959106,3.91125011444092,357188000,3.8779764175415
"2019-03-04",3.95000004768372,3.97300004959106,3.86249995231628,3.91950011253357,409992000,3.8861563205719
"2019-03-05",3.90374994277954,3.95149993896484,3.84899997711182,3.91300010681152,362924000,3.87971043586731
"2019-03-06",3.90400004386902,3.91249990463257,3.79850006103516,3.80124998092651,403524000,3.76891112327576
"2019-03-07",3.77749991416931,3.78725004196167,3.68499994277954,3.73149991035461,450104000,3.69975543022156
"2019-03-08",3.6414999961853,3.77675008773804,3.61999988555908,3.76600003242493,422416000,3.73396110534668
"2019-03-11",3.78975009918213,4.05149984359741,3.74224996566772,4.02850008010864,859728000,3.99422907829285
"2019-03-12",4.05649995803833,4.10974979400635,3.97974991798401,4.06300020217896,579576000,4.02843570709229
"2019-03-13",4.10074996948242,4.24499988555908,4.09324979782104,4.21549987792969,768900000,4.17963695526123
"2019-03-14",4.22475004196167,4.23675012588501,4.13124990463257,4.13899993896484,519384000,4.10378885269165
"2019-03-15",4.18249988555908,4.28824996948242,4.17899990081787,4.24525022506714,661484000,4.20913505554199
"2019-03-18",4.27699995040894,4.33125019073486,4.19649982452393,4.22375011444092,486992000,4.18781661987305
"2019-03-19",4.31899976730347,4.4375,4.30200004577637,4.39274978637695,854972000,4.35537910461426
"2019-03-20",4.42199993133545,4.47574996948242,4.32499980926514,4.3600001335144,719148000,4.32290887832642
"2019-03-21",4.38325023651123,4.625,4.37825012207031,4.59849977493286,824312000,4.55937910079956
"2019-03-22",4.57100009918213,4.61999988555908,4.42350006103516,4.4375,747644000,4.3997483253479
"2019-03-25",4.39650011062622,4.46124982833862,4.27775001525879,4.34450006484985,525212000,4.30753993988037
"2019-03-26",4.48724985122681,4.54374980926514,4.36499977111816,4.42175006866455,703508000,4.38413333892822
"2019-03-27",4.44750022888184,4.49424982070923,4.34250020980835,4.41249990463257,474372000,4.37496137619019
"2019-03-28",4.43874979019165,4.49749994277954,4.37774991989136,4.43125009536743,480264000,4.39355087280273
"2019-03-29",4.49849987030029,4.51350021362305,4.44775009155273,4.48899984359741,456896000,4.45080900192261
"2019-04-01",4.58150005340576,4.58750009536743,4.50925016403198,4.55700016021729,483824000,4.51823377609253
